year,debates_per_year,keywords
1839,8,railway
1840,3,railway
1841,5,railway
1842,5,railway
1843,2,railway
1844,1,railway
1845,47,railway
1846,27,railway
1847,18,railway
1848,11,railway
1849,13,railway
1850,24,railway
1851,5,railway
1852,9,railway
1853,7,railway
1854,13,railway
1855,13,railway
1856,6,railway
1857,4,railway
1858,7,railway
1860,6,railway
1861,11,railway
1862,9,railway
1863,12,railway
1864,6,railway
1865,9,railway
1866,7,railway
1867,17,railway
1868,5,railway
1869,6,railway
1870,4,railway
1871,8,railway
1872,1,railway
1873,15,railway
1874,7,railway
1875,13,railway
1876,11,railway
1877,7,railway
1878,10,railway
1879,14,railway
1880,18,railway
1881,18,railway
1882,10,railway
1883,37,railway
1884,26,railway
1885,29,railway
1886,46,railway
1887,85,railway
1888,46,railway
1889,53,railway
1890,59,railway
1891,20,railway
1892,56,railway
1893,73,railway
1894,76,railway
1895,107,railway
1896,143,railway
1897,101,railway
1898,86,railway
1899,90,railway
1900,125,railway
1901,98,railway
1902,184,railway
1903,76,railway
1904,85,railway
1905,75,railway
1906,130,railway
1907,101,railway
1908,87,railway
1909,172,railway
1910,115,railway
1804,1,shipments
1807,3,shipments
1811,2,shipments
1815,1,shipments
1819,1,shipments
1820,1,shipments
1823,1,shipments
1824,2,shipments
1825,1,shipments
1826,2,shipments
1830,4,shipments
1831,1,shipments
1833,2,shipments
1834,3,shipments
1835,4,shipments
1836,11,shipments
1837,5,shipments
1838,1,shipments
1839,8,shipments
1840,3,shipments
1841,5,shipments
1842,5,shipments
1843,2,shipments
1844,1,shipments
1845,47,shipments
1846,27,shipments
1847,18,shipments
1848,11,shipments
1849,13,shipments
1850,24,shipments
1851,5,shipments
1852,9,shipments
1853,7,shipments
1854,13,shipments
1855,13,shipments
1856,6,shipments
1857,4,shipments
1858,7,shipments
1860,6,shipments
1861,11,shipments
1862,9,shipments
1863,12,shipments
1864,6,shipments
1865,9,shipments
1866,7,shipments
1867,17,shipments
1868,5,shipments
1869,6,shipments
1870,4,shipments
1871,8,shipments
1872,1,shipments
1873,15,shipments
1874,7,shipments
1875,13,shipments
1876,11,shipments
1877,7,shipments
1878,10,shipments
1879,14,shipments
1880,18,shipments
1881,18,shipments
1882,10,shipments
1883,37,shipments
1884,26,shipments
1885,29,shipments
1886,46,shipments
1887,85,shipments
1888,46,shipments
1889,53,shipments
1890,59,shipments
1891,20,shipments
1892,56,shipments
1893,73,shipments
1894,76,shipments
1895,107,shipments
1896,143,shipments
1897,101,shipments
1898,86,shipments
1899,90,shipments
1900,125,shipments
1901,98,shipments
1902,184,shipments
1903,76,shipments
1904,85,shipments
1905,75,shipments
1906,130,shipments
1907,101,shipments
1908,87,shipments
1909,172,shipments
1910,115,shipments
1804,1,ship
1807,3,ship
1811,2,ship
1815,1,ship
1819,1,ship
1820,1,ship
1823,1,ship
1824,2,ship
1825,1,ship
1826,2,ship
1830,4,ship
1831,1,ship
1833,2,ship
1834,3,ship
1835,4,ship
1836,11,ship
1837,5,ship
1838,1,ship
1839,8,ship
1840,3,ship
1841,5,ship
1842,5,ship
1843,2,ship
1844,1,ship
1845,47,ship
1846,27,ship
1847,18,ship
1848,11,ship
1849,13,ship
1850,24,ship
1851,5,ship
1852,9,ship
1853,7,ship
1854,13,ship
1855,13,ship
1856,6,ship
1857,4,ship
1858,7,ship
1860,6,ship
1861,11,ship
1862,9,ship
1863,12,ship
1864,6,ship
1865,9,ship
1866,7,ship
1867,17,ship
1868,5,ship
1869,6,ship
1870,4,ship
1871,8,ship
1872,1,ship
1873,15,ship
1874,7,ship
1875,13,ship
1876,11,ship
1877,7,ship
1878,10,ship
1879,14,ship
1880,18,ship
1881,18,ship
1882,10,ship
1883,37,ship
1884,26,ship
1885,29,ship
1886,46,ship
1887,85,ship
1888,46,ship
1889,53,ship
1890,59,ship
1891,20,ship
1892,56,ship
1893,73,ship
1894,76,ship
1895,107,ship
1896,143,ship
1897,101,ship
1898,86,ship
1899,90,ship
1900,125,ship
1901,98,ship
1902,184,ship
1903,76,ship
1904,85,ship
1905,75,ship
1906,130,ship
1907,101,ship
1908,87,ship
1909,172,ship
1910,115,ship
1804,1,passages
1807,3,passages
1811,2,passages
1815,1,passages
1819,1,passages
1820,1,passages
1823,1,passages
1824,2,passages
1825,1,passages
1826,2,passages
1830,4,passages
1831,1,passages
1833,2,passages
1834,3,passages
1835,4,passages
1836,11,passages
1837,5,passages
1838,1,passages
1839,8,passages
1840,3,passages
1841,5,passages
1842,5,passages
1843,2,passages
1844,1,passages
1845,47,passages
1846,27,passages
1847,18,passages
1848,11,passages
1849,13,passages
1850,24,passages
1851,5,passages
1852,9,passages
1853,7,passages
1854,13,passages
1855,13,passages
1856,6,passages
1857,4,passages
1858,7,passages
1860,6,passages
1861,11,passages
1862,9,passages
1863,12,passages
1864,6,passages
1865,9,passages
1866,7,passages
