year,debates_per_year,keywords,words_per_year,proportion
1804,4,evict,168,0.023809523809523808
1805,1,evict,46,0.021739130434782608
1807,1,evict,59,0.01694915254237288
1808,1,evict,111,0.009009009009009009
1809,1,evict,196,0.00510204081632653
1810,1,evict,69,0.014492753623188406
1811,2,evict,211,0.009478672985781991
1812,1,evict,251,0.00398406374501992
1815,8,evict,247,0.032388663967611336
1817,1,evict,223,0.004484304932735426
1818,1,evict,160,0.00625
1820,2,evict,219,0.0091324200913242
1822,1,evict,189,0.005291005291005291
1823,3,evict,226,0.01327433628318584
1826,2,evict,223,0.008968609865470852
1828,3,evict,221,0.013574660633484163
1830,4,evict,717,0.005578800557880056
1831,6,evict,932,0.006437768240343348
1832,4,evict,630,0.006349206349206349
1833,4,evict,519,0.007707129094412331
1834,8,evict,483,0.016563146997929608
1835,3,evict,627,0.004784688995215311
1836,10,evict,604,0.016556291390728478
1837,5,evict,497,0.01006036217303823
1838,5,evict,373,0.013404825737265416
1839,3,evict,517,0.005802707930367505
1840,2,evict,469,0.0042643923240938165
1841,5,evict,528,0.00946969696969697
1842,6,evict,811,0.007398273736128237
1843,8,evict,624,0.01282051282051282
1844,6,evict,290,0.020689655172413793
1845,16,evict,636,0.025157232704402517
1846,11,evict,597,0.018425460636515914
1847,10,evict,794,0.012594458438287154
1848,9,evict,438,0.02054794520547945
1849,10,evict,487,0.02053388090349076
1850,14,evict,535,0.026168224299065422
1851,6,evict,283,0.02120141342756184
1852,12,evict,579,0.02072538860103627
1853,11,evict,555,0.01981981981981982
1854,14,evict,667,0.020989505247376312
1855,4,evict,764,0.005235602094240838
1856,10,evict,846,0.01182033096926714
1857,1,evict,724,0.0013812154696132596
1858,6,evict,610,0.009836065573770493
1859,5,evict,377,0.013262599469496022
1860,12,evict,580,0.020689655172413793
1861,3,evict,576,0.005208333333333333
1862,2,evict,449,0.004454342984409799
1863,1,evict,589,0.001697792869269949
1864,1,evict,439,0.002277904328018223
1865,5,evict,528,0.00946969696969697
1866,2,evict,419,0.00477326968973747
1867,3,evict,717,0.0041841004184100415
1868,1,evict,481,0.002079002079002079
1869,8,evict,631,0.012678288431061807
1870,2,evict,684,0.0029239766081871343
1871,6,evict,792,0.007575757575757576
1872,1,evict,607,0.0016474464579901153
1873,5,evict,746,0.006702412868632708
1874,1,evict,495,0.00202020202020202
1875,5,evict,865,0.005780346820809248
1876,8,evict,933,0.00857449088960343
1877,1,evict,893,0.0011198208286674132
1878,6,evict,945,0.006349206349206349
1879,3,evict,846,0.0035460992907801418
1880,14,evict,1264,0.011075949367088608
1881,78,evict,1629,0.04788213627992634
1882,151,evict,1477,0.10223425863236289
1883,30,evict,2947,0.01017984390906006
1884,14,evict,2168,0.006457564575645757
1885,12,evict,1549,0.007746933505487412
1886,36,evict,2811,0.012806830309498399
1887,53,evict,4399,0.012048192771084338
1888,51,evict,4589,0.011113532359991284
1889,48,evict,2889,0.016614745586708203
1890,30,evict,3259,0.009205277692543725
1891,5,evict,810,0.006172839506172839
1892,20,evict,2028,0.009861932938856016
1893,15,evict,2045,0.007334963325183374
1894,25,evict,2158,0.011584800741427247
1895,30,evict,2934,0.010224948875255624
1896,83,evict,3517,0.023599658800113735
1897,51,evict,2867,0.0177886292291594
1898,39,evict,2951,0.013215859030837005
1899,33,evict,2470,0.013360323886639677
1900,49,evict,4199,0.011669445105977614
1901,55,evict,3443,0.01597444089456869
1902,88,evict,5941,0.0148123211580542
1903,23,evict,2221,0.010355695632597929
1904,143,evict,3296,0.04338592233009709
1905,187,evict,3447,0.054250072526834926
1906,267,evict,5193,0.05141536683997689
1907,168,evict,4386,0.038303693570451436
1908,232,evict,5474,0.04238217025940811
1909,318,evict,6443,0.04935589011330126
1910,227,evict,5008,0.04532747603833866
1804,4,inclosure,168,0.023809523809523808
1805,1,inclosure,46,0.021739130434782608
1807,1,inclosure,59,0.01694915254237288
1808,1,inclosure,111,0.009009009009009009
1809,1,inclosure,196,0.00510204081632653
1810,1,inclosure,69,0.014492753623188406
1811,2,inclosure,211,0.009478672985781991
1812,1,inclosure,251,0.00398406374501992
1815,8,inclosure,247,0.032388663967611336
1817,1,inclosure,223,0.004484304932735426
1818,1,inclosure,160,0.00625
1820,2,inclosure,219,0.0091324200913242
1822,1,inclosure,189,0.005291005291005291
1823,3,inclosure,226,0.01327433628318584
1826,2,inclosure,223,0.008968609865470852
1828,3,inclosure,221,0.013574660633484163
1830,4,inclosure,717,0.005578800557880056
1831,6,inclosure,932,0.006437768240343348
1832,4,inclosure,630,0.006349206349206349
1833,4,inclosure,519,0.007707129094412331
1834,8,inclosure,483,0.016563146997929608
1835,3,inclosure,627,0.004784688995215311
1836,10,inclosure,604,0.016556291390728478
1837,5,inclosure,497,0.01006036217303823
1838,5,inclosure,373,0.013404825737265416
1839,3,inclosure,517,0.005802707930367505
